sido,sigungu,doro,address,crosswalk_id,crosswalk_type,highland,crosswalk_lat,crosswalk_lon,roadnum,crosswalk_width,crosswalk_length,signal,button,sound_signal,bump,braille_block,spotlight,org_code
경상북도,구미시,박정희로,경상북도 구미시 상모동 193-2,박정희로-5,1,N,36.08834674,128.3502474,6,5.7,16.2,Y, , , ,Y, ,5080000
경상북도,구미시,박정희로,경상북도 구미시 상모동 165-2,박정희로-7,1,N,36.08871377,128.3502898,6,5.9,12.7,Y, , , ,Y, ,5080000
경상북도,구미시,구미대로,경상북도 구미시 임은동 243,구미대로-1,4,N,36.08680476,128.3612498,5,6.0,16.7,Y, , , ,Y, ,5080000
경상북도,구미시,상시서로,경상북도 구미시 상모동 485,상시서로-1,1,N,36.08771628,128.355335,4,5.8,11.7,Y, , , ,Y, ,5080000
경상북도,구미시,박정희로,경상북도 구미시 상모동 195-3,박정희로-9,1,N,36.08856559,128.3504328,4,6.0,12.7,Y, , , ,Y, ,5080000
경상북도,구미시,박정희로,경상북도 구미시 상모동 266-1,박정희로-10,1,N,36.08634467,128.3502267,2,2.93,12.18,Y, , , ,N, ,5080000
경상북도,구미시,상모로10길,경상북도 구미시 상모동 535,상모로10길-1,1,N,36.08544193,128.357301,2,4.0,8.5,Y, , , ,N, ,5080000
경상북도,구미시,왕산로,경상북도 구미시 임은동 243,왕산로-1,4,N,36.08668233,128.3613779,6,6.0,15.7,Y, , , ,Y, ,5080000
경상북도,구미시,상모로10길,경상북도 구미시 상모동 534,상모로10길-2,1,N,36.0855373,128.3573951,4,6.0,11.72,Y, , , ,Y, ,5080000
경기도,양주시,그루고개로,경기도 양주시 은현면 도하리 44-10,31260-CW-01033,4,N,37.8583422,127.0125353,2,4.3,6.0,Y,N,N,Y,Y,N,5590000
전라남도,순천시,연향로,,S0152,1,N,34.94471876,127.5195819,5,8.0,16.0,Y, , ,Y,N, ,4820000
전라남도,순천시,연향로,,S0153,1,N,34.94471876,127.5195819,5,8.0,16.0,Y, , ,Y,N, ,4820000
전라남도,순천시,연향로,,S0154,1,N,34.94372025,127.5218445,2,4.0,9.0,Y, , ,Y,N, ,4820000
전라남도,순천시,연향로,,S0155,1,N,34.94372025,127.5218445,5,8.0,16.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,덕연로,,S0159,1,Y,34.94856865,127.5115096,2,3.0,8.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,연향1로,,S0167,1,N,34.94504852,127.5177801,2,3.0,8.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,연향1로,,S0168,1,N,34.94471876,127.5195819,2,4.0,8.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,연향1로,,S0169,1,N,34.94471876,127.5195819,2,4.0,8.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,연향2로,,S0176,1,N,34.94788125,127.5216002,3,6.0,11.0,Y, , ,Y,N, ,4820000
전라남도,순천시,연향2로,,S0178,1,N,34.9483072,127.5210865,2,4.0,8.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,순천만정원로,,S0119,1,N,34.93704542,127.4956111,3,3.0,10.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,순천만정원로,,S0120,1,N,34.9289309,127.4988865,4,6.0,16.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,순천만정원로,,S0121,1,N,34.9289309,127.4988865,7,11.0,27.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,순천만정원로,,S0122,1,Y,34.93788884,127.4948382,6,12.0,21.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,순천만정원로,,S0123,1,N,34.93788884,127.4948382,3,3.0,10.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,풍덕주택길,,S0130,1,N,34.94068029,127.5035325,4,6.0,11.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,풍덕주택길,,S0131,1,N,34.94022965,127.5035648,4,6.0,17.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0135,1,N,34.94124697,127.5108563,7,7.0,28.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0136,1,N,34.94402668,127.5133081,2,4.0,15.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0137,1,N,34.94402668,127.5133081,7,6.0,24.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0138,1,N,34.94555783,127.5139089,7,10.0,24.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0139,1,N,34.94702087,127.514375,7,10.0,24.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0140,1,N,34.94808541,127.5148183,7,10.0,23.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0141,1,N,34.94820926,127.5147758,2,4.0,7.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0142,1,N,34.94861949,127.514902,7,10.0,24.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0143,1,N,34.95031089,127.5155471,7,6.0,24.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0145,1,N,34.95098794,127.5157328,7,6.0,22.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,충효로,,S0146,1,N,34.95216221,127.5168033,7,10.0,25.0,Y, , ,Y,Y, ,4820000
전라남도,순천시,연향로,,S0147,1,N,34.94347923,127.5140206,5,6.0,17.0,Y, , ,Y,N, ,4820000
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡동 571,봉곡서로-5,1,N,36.15421933,128.3067379,4,6.0,13.0,Y, , , ,Y, ,5080000
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡동 571,봉곡북로-1,1,N,36.15439586,128.3048931,4,6.1,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,봉곡로,경상북도 구미시 봉곡동 574,봉곡로-1,1,N,36.15404201,128.3107814,4,5.9,15.0,Y, , , ,Y, ,5080000
경상북도,구미시,봉곡로,경상북도 구미시 봉곡동 574,봉곡로-2,1,N,36.15415496,128.3109558,4,5.9,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡동 571,봉곡북로-3,1,N,36.15416568,128.3106377,4,6.0,11.0,Y, , , ,Y, ,5080000
전라남도,곡성군,입면로,전라남도 곡성군 옥과면 무창리 717-4,곡성-201,1,N,35.28285478,127.1464318,5,4.5,21.0,Y, , , ,N, ,4860000
전라남도,곡성군,주목로,전라남도 곡성군 목사동면 신전리 24-5,곡성-205,1,N,35.09795126,127.2974661,4,5.5,13.5,Y, , , ,N, ,4860000
전라남도,곡성군,중앙로,전라남도 곡성군 곡성읍 읍내리 846,곡성-222,1,Y,35.28040176,127.2893988,2,6.1,8.0,Y, , , ,Y, ,4860000
전라남도,곡성군,중앙로,전라남도 곡성군 곡성읍 읍내리 309-1,곡성-223,1,Y,35.28012285,127.2931045,2,6.2,9.2,Y, , , ,Y, ,4860000
전라남도,곡성군,중앙로,전라남도 곡성군 곡성읍 읍내리 846,곡성-226,1,Y,35.28040176,127.2893988,2,6.0,10.9,Y, , , ,Y, ,4860000
전라남도,곡성군,중앙로,전라남도 곡성군 곡성읍 읍내리 261-10,곡성-227,1,Y,35.2813905,127.295789,2,7.1,10.9,Y, , , ,Y, ,4860000
경기도,여주시,여강로,경기도 여주시 북내면 신접리  230-1,여주-0738,1,N,37.32701049,127.6852953,2,4.0,16.0,Y,N,N,Y,Y,N,5700000
충청남도,예산군,예당평야로,충청남도 예산군 신암면 신종리 148-15,신암면004,4,N,36.75831042,126.8202961,1,3.5,4.0,Y,N,N,Y,Y, ,4610000
강원특별자치도,동해시,공단2로,강원특별자치도 동해시 구호동 262,D00309,1,N,37.482662,129.138322,4,12.0,6.0,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,공단4로,강원특별자치도 동해시 구호동 264,D00310,1,N,37.482933,129.138421,4,16.0,6.0,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,하평로,강원특별자치도 동해시 평릉동 430,D00314,1,N,37.531185,129.110101,5,4.0,4.1,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,평원로,강원특별자치도 동해시 평릉동 433,D00317,4,Y,37.533507,129.112399,4,5.9,3.0,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,하평로,강원특별자치도 동해시 평릉동 430,D00330,1,N,37.533106,129.115769,5,6.0,6.3,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,해안로,강원특별자치도 동해시 평릉동 78-3,D00331,1,N,37.533371,129.115835,4,6.0,8.2,Y, , ,Y,Y, ,4211000
강원특별자치도,동해시,해안로,강원특별자치도 동해시 부곡동 7-77,D00332,1,N,37.539152,129.110276,4,2.8,6.8,Y, , ,Y,Y, ,4211000
경상북도,구미시,도봉로1길,경상북도 구미시 봉곡동 24-3,도봉로1길-5,1,N,36.14016317,128.3133653,2,4.0,8.1,Y, , , ,Y, ,5080000
경상북도,구미시,야은로,경상북도 구미시 봉곡동 24-4,야은로-12,1,N,36.1395813,128.3133617,4,7.9,13.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 846-4,도봉로-1,1,N,36.13851834,128.3174747,8,8.1,28.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 봉곡동 24-4,도봉로-5,1,N,36.14156528,128.314583,4,7.8,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 봉곡동 24-4,도봉로-6,1,N,36.14098882,128.3138153,4,8.0,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로3길,경상북도 구미시 봉곡동 24-4,도봉로3길-4,1,N,36.14160788,128.3149424,4,7.9,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로3길,경상북도 구미시 봉곡동 24-1,도봉로3길-5,1,N,36.14179824,128.3146367,2,4.0,6.3,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 329-2,도봉로-8,1,N,36.14151311,128.3162646,4,7.9,13.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 봉곡동 24-4,도봉로-9,1,N,36.141384,128.3160362,6,8.0,20.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 329-2,도봉로-10,1,N,36.14116949,128.3161653,4,7.9,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 329-3,도봉로-11,1,N,36.13869185,128.3177338,5,8.0,16.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 329-3,도봉로-12,1,N,36.14130931,128.3163989,6,8.0,19.0,Y, , , ,Y, ,5080000
경상북도,구미시,도봉로,경상북도 구미시 도량동 331-1,도봉로-13,1,N,36.13951256,128.3178159,3,3.9,7.9,Y, , , ,Y, ,5080000
경상북도,구미시,새마을로5길,경상북도 구미시 사곡동 416-1,새마을로5길-3,1,N,36.10260172,128.3558601,4,6.0,18.4,Y, , , ,Y, ,5080000
경상북도,구미시,새마을로2길,경상북도 구미시 사곡동 882,새마을로2길-7,1,N,36.10542577,128.3533653,4,6.0,14.9,Y, , , ,Y, ,5080000
