sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,구리시,시도,3,경기도 구리시 교문동 11-5,2,1,31120-TL-00450-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 772,2,1,31120-TL-00452-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 558-18,2,1,31120-TL-00438-01,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 673-1,2,1,31120-TL-00439-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 558-10,2,1,31120-TL-00441-01,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 685,2,1,31120-TL-00443-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 789,2,1,31120-TL-00444-04,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 1,2,1,31120-TL-00446-03,2,0,1,1,3980000
충청남도,아산시,기타,3,충청남도 아산시 배방읍 북수리 49-3,2,1,3178,2,0,1,1,4520000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 125-3,2,1,2084-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 224-1,2,1,2085-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 145-3,2,1,2087-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 121-21,2,1,2089-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 145-3,2,1,2091-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 34-2,2,1,2092-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 145-3,2,1,2093-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 25-16,2,1,2094-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 147-21,2,1,2070-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 126-12,2,1,2071-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 126-4,2,1,2072-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 145-3,2,1,2073-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 224-1,2,1,2075-TR-01,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 224-1,2,1,2076-TR-01,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 224-1,2,1,2078-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 148-1,2,1,2082-TR-01,2,0,1,0,3820000
경상북도,구미시,시도,3,경상북도 구미시 산동읍 인덕리 1102,2,1,신당인덕3로-19,2,0,1,0,5080000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,1,2057-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 173-21,2,1,2058-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 617,2,1,2059-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 571-42,2,1,2064-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 224-1,2,1,2067-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,1,2046-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,1,2047-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 98-1,2,0,2049-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,0,2050-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,0,2051-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,0,2052-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 173-6,2,1,2054-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,1,2056-TR-03,2,0,1,1,3820000
경상북도,구미시,시도,3,경상북도 구미시 산동읍 인덕리 1102,2,1,신당인덕3로-18,2,0,1,0,5080000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 205-16,2,1,2030-TR-04,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 205-16,2,1,2030-TR-05,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 465,2,0,2032-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 15-10,1,1,2033-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 395,1,0,2036-TR-01,2,0,1,0,3820000
